Alphabetic List of Variables and Attributes,,,,,
#,Variable,Type,Len,Format,Informat
4,Calories,Num,8,BEST3.,BEST3.
9,Carbo,Num,8,BEST4.,BEST4.
15,Cups,Num,8,BEST4.,BEST4.
6,Fat,Num,8,BEST1.,BEST1.
8,Fiber,Num,8,BEST3.,BEST3.
2,Manuf,Char,2,$CHAR2.,$CHAR2.
1,Name,Char,38,$CHAR38.,$CHAR38.
11,Potass,Num,8,BEST3.,BEST3.
5,Protein,Num,8,BEST1.,BEST1.
16,Rating,Num,8,BEST17.,BEST17.
13,Shelf,Num,8,BEST1.,BEST1.
7,Sodium,Num,8,BEST3.,BEST3.
10,Sugars,Num,8,BEST2.,BEST2.
3,Type,Char,2,$CHAR2.,$CHAR2.
12,Vitamins,Num,8,BEST3.,BEST3.
14,Weight,Num,8,BEST4.,BEST4.
