Root MSE,2.51893,,,,Root MSE,2.32644,,,,Root MSE,2.54177,,,,Root MSE,2.54697,,,,Root MSE,2.48696,,,,Root MSE,2.2378,,,,Root MSE,2.46939,,
Dependent Mean,42.44289,,,,Dependent Mean,42.55853,,,,Dependent Mean,42.7336,,,,Dependent Mean,42.79989,,,,Dependent Mean,42.9945,,,,Dependent Mean,43.08696,,,,Dependent Mean,42.04356,,
R-Square,0.9748,,,,R-Square,0.9786,,,,R-Square,0.9749,,,,R-Square,0.9738,,,,R-Square,0.9753,,,,R-Square,0.9803,,,,R-Square,0.9715,,
Adj R-Sq,0.9679,,,,Adj R-Sq,0.9728,,,,Adj R-Sq,0.968,,,,Adj R-Sq,0.9679,,,,Adj R-Sq,0.9698,,,,Adj R-Sq,0.9754,,,,Adj R-Sq,0.965,,
AIC,202.92959,,,,AIC,192.43594,,,,AIC,204.12073,,,,AIC,202.92945,,,,AIC,199.78227,,,,AIC,186.59018,,,,AIC,198.84643,,
AICC,214.03163,,,,AICC,203.53798,,,,AICC,215.22277,,,,AICC,211.16474,,,,AICC,208.01756,,,,AICC,196.19018,,,,AICC,207.08172,,
SBC,167.77441,,,,SBC,157.28076,,,,SBC,168.96555,,,,SBC,163.39496,,,,SBC,160.24778,,,,SBC,149.24535,,,,SBC,159.31194,,
ASE (Train),4.90298,,,,ASE (Train),4.18224,,,,ASE (Train),4.99227,,,,ASE (Train),5.2093,,,,ASE (Train),4.96673,,,,ASE (Train),3.94551,,,,ASE (Train),4.8968,,
ASE (Test),5.25701,,,,ASE (Test),15.40395,,,,ASE (Test),5.04265,,,,ASE (Test),9.19804,,,,ASE (Test),7.32932,,,,ASE (Test),14.61129,,,,ASE (Test),11.01577,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stepwise Selection Summary,,,,,Stepwise Selection Summary,,,,,Stepwise Selection Summary,,,,,Stepwise Selection Summary,,,,,Stepwise Selection Summary,,,,,Stepwise Selection Summary,,,,,Stepwise Selection Summary,,,
Step,Effect,SBC,ASE,,Step,Effect,SBC,ASE,,Step,Effect,SBC,ASE,,Step,Effect,SBC,ASE,,Step,Effect,SBC,ASE,,Step,Effect,SBC,ASE,,Step,Effect,SBC,ASE
,Entered,,,,,Entered,,,,,Entered,,,,,Entered,,,,,Entered,,,,,Entered,,,,,Entered,,
0,Intercept,352.1733,194.8986,,0,Intercept,352.4331,195.6672,,0,Intercept,353.5822,199.1038,,0,Intercept,353.6056,199.1744,,0,Intercept,354.3365,201.3924,,0,Intercept,354.1005,200.6735,,0,Intercept,343.8011,171.6792
1,Sugars_trans,293.5734,75.2731,,1,Sugars_trans,294.528,76.3697,,1,Sugars_trans,288.8053,70.0268,,1,Sugars_trans,294.1239,75.9036,,1,Sugars_trans,295.2812,77.2462,,1,Sugars_trans,298.2892,80.8483,,1,Sugars_trans,287.9428,69.1177
2,Fiber,239.0884,30.942,,2,Fiber,238.3245,30.5859,,2,Fiber,240.8101,31.7597,,2,Fiber,224.99,24.9906,,2,Fiber,236.6913,29.8383,,2,Fiber,239.6055,31.1853,,2,Fiber,244.1757,33.4213
3,Sodium,190.563,13.921,,3,Sodium,184.7508,12.7475,,3,Sodium,193.4806,14.5502,,3,Sodium,182.2208,12.2681,,3,Sodium,185.5436,12.9016,,3,Sodium,185.9314,12.9776,,3,Sodium,184.8748,12.7715
4,Protei*Fat_bi*Vitami,173.0688,6.0316,,4,Protei*Fat_bi*Vitami,162.9033,5.1706,,4,Protei*Fat_bi*Vitami,170.6407,5.8138,,4,Protei*Fat_bi*Vitami,163.3950*,5.2093,,4,Protei*Fat_bi*Vitami,163.8386,5.5881,,4,Protei*Fat_bi*Vitami,154.7855,4.5722,,4,Protei*Fat_bi*Vitami,164.4761,6.0122
5,Shelf_bin,169.3648,5.3517,,5,Calories_trans,158.0886,4.5112,,5,Shelf_bin,169.2565,5.3429,,* Optimal Value of Criterion,,,,,5,Calories_trans,160.2478*,4.9667,,5,Calories_trans,149.2453*,3.9455,,5,Calories_trans,160.9888,5.352
